"","name_currencies","accuracy","sensitivity","specificity","precision","recall","f1"
"1","",0,0,0,0,0,0
"2","AUD/BRL",0.863453815261044,0.225,0.985645933014354,0.75,0.225,0.346153846153846
"3","CAD/BRL",0.875502008032129,0.35,0.976076555023923,0.736842105263158,0.35,0.474576271186441
"4","CHF/BRL",0.855421686746988,0.225,0.976076555023923,0.642857142857143,0.225,0.333333333333333
"5","EUR/BRL",0.839357429718876,0.025,0.995215311004785,0.5,0.025,0.0476190476190476
"6","GBP/BRL",0.839357429718876,0.025,0.995215311004785,0.5,0.025,0.0476190476190476
"7","SGD/BRL",0.867469879518072,0.225,0.990430622009569,0.818181818181818,0.225,0.352941176470588
"8","USD/BRL",0.863453815261044,0.225,0.985645933014354,0.75,0.225,0.346153846153846
"9","CNY/BRL",0.855421686746988,0.15,0.990430622009569,0.75,0.15,0.25
"10","DKK/BRL",0.875502008032129,0.35,0.976076555023923,0.736842105263158,0.35,0.474576271186441
"11","MXN/BRL",0.827309236947791,0.025,0.980861244019139,0.2,0.025,0.0444444444444445
"12","NOK/BRL",0.867469879518072,0.225,0.990430622009569,0.818181818181818,0.225,0.352941176470588
"13","NZD/BRL",0.867469879518072,0.2,0.995215311004785,0.888888888888889,0.2,0.326530612244898
"14","PLN/BRL",0.8714859437751,0.325,0.976076555023923,0.722222222222222,0.325,0.448275862068965
"15","SEK/BRL",0.863453815261044,0.25,0.980861244019139,0.714285714285714,0.25,0.37037037037037
"16","TRY/BRL",0.835341365461847,0,0.995215311004785,0,0,NA
"17","ZAR/BRL",0.763052208835341,0.025,0.904306220095694,0.0476190476190476,0.025,0.0327868852459016
"18","PEN/BRL",0.85140562248996,0.125,0.990430622009569,0.714285714285714,0.125,0.212765957446809
