"";"name_currencies";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"AUD/BRL";0,657028112449799;0,158823529411765;0,844198895027624;0,276923076923077;0,158823529411765;0,201869158878505
"3";"CAD/BRL";0,685676037483266;0,145098039215686;0,888766114180479;0,328888888888889;0,145098039215686;0,201360544217687
"4";"CHF/BRL";0,693172690763052;0,114705882352941;0,910497237569061;0,325;0,114705882352941;0,169565217391304
"5";"EUR/BRL";0,646586345381526;0,161764705882353;0,828729281767956;0,261904761904762;0,161764705882353;0,2
"6";"GBP/BRL";0,602409638554217;0,220588235294118;0,74585635359116;0,245901639344262;0,220588235294118;0,232558139534884
"7";"SGD/BRL";0,67764390896921;0,130392156862745;0,883241252302026;0,295555555555556;0,130392156862745;0,180952380952381
"8";"USD/BRL";0,684605087014726;0,113725490196078;0,899079189686925;0,297435897435897;0,113725490196078;0,164539007092199
"9";"CNY/BRL";0,703614457831325;0,170588235294118;0,903867403314917;0,4;0,170588235294118;0,239175257731959
"10";"DKK/BRL";0,646586345381526;0,161764705882353;0,828729281767956;0,261904761904762;0,161764705882353;0,2
"11";"MXN/BRL";0,641499330655957;0,174509803921569;0,816942909760589;0,263703703703704;0,174509803921569;0,210029498525074
"12";"NOK/BRL";0,669076305220884;0,158823529411765;0,860773480662984;0,3;0,158823529411765;0,207692307692308
"13";"NZD/BRL";0,65756358768407;0,145098039215686;0,850092081031308;0,266666666666667;0,145098039215686;0,187936507936508
"14";"PLN/BRL";0,654886211512718;0,199019607843137;0,826151012891344;0,300740740740741;0,199019607843137;0,23952802359882
"15";"SEK/BRL";0,646586345381526;0,191176470588235;0,81767955801105;0,282608695652174;0,191176470588235;0,228070175438596
"16";"TRY/BRL";0,724230254350736;0,0392156862745098;0,98158379373849;0,444444444444444;0,0392156862745098;0,0720720720720721
"17";"ZAR/BRL";0,703614457831325;0,185294117647059;0,898342541436464;0,406451612903226;0,185294117647059;0,254545454545455
"18";"PEN/BRL";0,708701472556894;0,143137254901961;0,921178637200737;0,405555555555556;0,143137254901961;0,211594202898551
