"";"name_currencies";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"AUD/BRL";0,87095046854083;0,248333333333333;0,990111642743222;0,827777777777778;0,248333333333333;0,382051282051282
"3";"CAD/BRL";0,875502008032129;0,35;0,976076555023923;0,736842105263158;0,35;0,474576271186441
"4";"CHF/BRL";0,87041499330656;0,271666666666667;0,985007974481659;0,776190476190476;0,271666666666667;0,402469135802469
"5";"EUR/BRL";0,846854082998661;0,0483333333333333;0,999681020733652;0,966666666666667;0,0483333333333333;0,0920634920634921
"6";"GBP/BRL";0,846854082998661;0,0483333333333333;0,999681020733652;0,966666666666667;0,0483333333333333;0,0920634920634921
"7";"SGD/BRL";0,867469879518072;0,225;0,990430622009569;0,818181818181818;0,225;0,352941176470588
"8";"USD/BRL";0,863453815261044;0,225;0,985645933014354;0,75;0,225;0,346153846153846
"9";"CNY/BRL";0,862918340026774;0,173333333333333;0,994896331738437;0,866666666666667;0,173333333333333;0,288888888888889
"10";"DKK/BRL";0,875502008032129;0,35;0,976076555023923;0,736842105263158;0,35;0,474576271186441
"11";"MXN/BRL";0,834805890227577;0,0483333333333333;0,985326953748006;0,386666666666667;0,0483333333333333;0,0859259259259259
"12";"NOK/BRL";0,867469879518072;0,225;0,990430622009569;0,818181818181818;0,225;0,352941176470588
"13";"NZD/BRL";0,867469879518072;0,2;0,995215311004785;0,888888888888889;0,2;0,326530612244898
"14";"PLN/BRL";0,8714859437751;0,325;0,976076555023923;0,722222222222222;0,325;0,448275862068965
"15";"SEK/BRL";0,87095046854083;0,273333333333333;0,985326953748006;0,780952380952381;0,273333333333333;0,404938271604938
"16";"TRY/BRL";0,835341365461847;0;0,995215311004785;0;0;NA
"17";"ZAR/BRL";0,770548862115127;0,0483333333333333;0,908771929824561;0,0920634920634921;0,0483333333333333;0,0633879781420765
"18";"PEN/BRL";0,85140562248996;0,125;0,990430622009569;0,714285714285714;0,125;0,212765957446809
