"";"name_currencies";"f1";"accuracy";"precision";"recall"
"1";"";0;0;0;0
"2";"EUR/BRL";0,233128834355828;0,371859296482412;0,95;0,132867132867133
"3";"CLP/BRL";0,0805369127516779;0,311557788944724;1;0,041958041958042
"4";"USD/BRL";0,129847494553377;0,330988274706868;0,993333333333333;0,0694638694638695
"5";"CNY/BRL";0,255284552845528;0,386264656616415;0,996825396825397;0,146386946386946
"6";"ARS/BRL";0,105960264900662;0,321608040201005;1;0,0559440559440559
"";"name_currencies";"f1";"accuracy";"precision";"recall"
"1";"";0;0;0;0
"2";"EUR/BRL";0,270707070707071;0,516247906197655;0,893333333333333;0,15952380952381
"3";"CLP/BRL";0,100564971751412;0,466666666666667;0,988888888888889;0,0529761904761905
"4";"USD/BRL";0,161748633879781;0,486097152428811;0,986666666666667;0,0880952380952381
"5";"CNY/BRL";0,29874686716792;0,531323283082077;0,946031746031746;0,177380952380952
"6";"ARS/BRL";0,111111111111111;0,463986599664992;0,833333333333333;0,0595238095238095
"";"name_currencies";"f1";"accuracy";"precision";"recall"
"1";"";0;0;0;0
"2";"EUR/BRL";0,267867867867868;0,591624790619766;0,743333333333333;0,163369963369963
"3";"CLP/BRL";0,101718213058419;0,56214405360134;0,822222222222222;0,0542124542124542
"4";"USD/BRL";0,175577557755776;0,581574539363484;0,886666666666667;0,0974358974358974
"5";"CNY/BRL";0,333333333333333;0,624790619765494;0,888888888888889;0,205128205128205
"6";"ARS/BRL";0,130639730639731;0,56750418760469;0,808333333333333;0,0710622710622711
