"";"name_currencies";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"2";"AUD/BRL";0,796519410977242;0,333333333333333;0,970534069981584;0,80952380952381;0,333333333333333;0,472222222222222
"3";"CAD/BRL";0,794645247657296;0,263725490196078;0,994106813996317;0,943859649122807;0,263725490196078;0,412260536398467
"4";"CHF/BRL";0,802945113788487;0,315686274509804;0,986003683241252;0,894444444444444;0,315686274509804;0,466666666666667
"5";"EUR/BRL";0,784738955823293;0,282352941176471;0,973480662983425;0,8;0,282352941176471;0,417391304347826
"6";"GBP/BRL";0,747523427041499;0,162745098039216;0,967219152854512;0,650980392156863;0,162745098039216;0,260392156862745
"7";"SGD/BRL";0,782864792503347;0,212745098039216;0,997053406998158;0,964444444444444;0,212745098039216;0,34859437751004
"8";"USD/BRL";0,758768406961178;0,124509803921569;0,997053406998158;0,940740740740741;0,124509803921569;0,21991341991342
"9";"CNY/BRL";0,78661311914324;0,234313725490196;0,994106813996317;0,937254901960784;0,234313725490196;0,374901960784314
"10";"DKK/BRL";0,784738955823293;0,282352941176471;0,973480662983425;0,8;0,282352941176471;0,417391304347826
"11";"MXN/BRL";0,72289156626506;0,0147058823529412;0,988950276243094;0,333333333333333;0,0147058823529412;0,028169014084507
"12";"NOK/BRL";0,752342704149933;0,259803921568627;0,937384898710865;0,609195402298851;0,259803921568627;0,36426116838488
"13";"NZD/BRL";0,783935742971888;0,317647058823529;0,959116022099447;0,744827586206897;0,317647058823529;0,445360824742268
"14";"PLN/BRL";0,775635876840696;0,22156862745098;0,983793738489871;0,837037037037037;0,22156862745098;0,350387596899225
"15";"SEK/BRL";0,786880856760375;0,418627450980392;0,925230202578269;0,677777777777778;0,418627450980392;0,517575757575758
"16";"TRY/BRL";0,700133868808568;0,0245098039215686;0,953959484346225;0,166666666666667;0,0245098039215686;0,0427350427350427
"17";"ZAR/BRL";0,637751004016064;0,0941176470588235;0,841988950276243;0,182857142857143;0,0941176470588235;0,124271844660194
"18";"PEN/BRL";0,746720214190094;0,0803921568627451;0,997053406998158;0,911111111111111;0,0803921568627451;0,147747747747748
