"";"name_stocks";"f1";"accuracy";"precision";"recall"
"1";"";0;0;0;0
"2";"Ibovespa";0,397777777777778;0,426455026455026;0,813636363636364;0,263235294117647
"3";"Ibrx100";0,337621832358674;0,400705467372134;0,824761904761905;0,212254901960784
"4";"Ibrx50";0,357610789980732;0,411992945326279;0,836036036036036;0,227450980392157
"5";"Ibra";0,358381502890173;0,412698412698413;0,837837837837838;0,227941176470588
"6";"IGC";0,357610789980732;0,411992945326279;0,836036036036036;0,227450980392157
"";"name_stocks";"f1";"accuracy";"precision";"recall"
"1";"";0;0;0;0
"2";"Ibovespa";0,376576576576577;0,511816578483245;0,633333333333333;0,267948717948718
"3";"Ibrx100";0,327098321342926;0,505114638447972;0,64952380952381;0,218589743589744
"4";"Ibrx50";0,33758865248227;0,505820105820106;0,643243243243243;0,228846153846154
"5";"Ibra";0,350827423167849;0,515696649029982;0,668468468468469;0,237820512820513
"6";"IGC";0,361229314420804;0,523456790123457;0,688288288288288;0,244871794871795
"";"name_stocks";"f1";"accuracy";"precision";"recall"
"1";"";0;0;0;0
"2";"Ibovespa";0,400995024875622;0,575308641975309;0,610606060606061;0,298518518518519
"3";"Ibrx100";0,378666666666667;0,589065255731922;0,676190476190476;0,262962962962963
"4";"Ibrx50";0,386351706036745;0,587654320987654;0,663063063063063;0,272592592592593
"5";"Ibra";0,391601049868766;0,591181657848325;0,672072072072072;0,276296296296296
"6";"IGC";0,369553805774278;0,57636684303351;0,634234234234234;0,260740740740741
