"";"name_stocks";"f1";"accuracy";"precision";"recall"
"1";"";0;0;0;0
"2";"Ibovespa";0,226160337552743;0,353086419753086;0,812121212121212;0,131372549019608
"3";"Ibrx100";0,222222222222222;0,37037037037037;1;0,125
"4";"Ibrx50";0,210526315789474;0,365079365079365;1;0,117647058823529
"5";"Ibra";0,256410256410256;0,386243386243386;1;0,147058823529412
"6";"IGC";0,245161290322581;0,380952380952381;1;0,139705882352941
"";"name_stocks";"f1";"accuracy";"precision";"recall"
"1";"";0;0;0;0
"2";"Ibovespa";0,251851851851852;0,501234567901235;0,721212121212121;0,152564102564103
"3";"Ibrx100";0,23030303030303;0,507231040564374;0,819607843137255;0,133974358974359
"4";"Ibrx50";0,215555555555556;0,501940035273369;0,808333333333333;0,124358974358974
"5";"Ibra";0,258064516129032;0,513227513227513;0,8;0,153846153846154
"6";"IGC";0,24390243902439;0,507936507936508;0,789473684210526;0,144230769230769
"";"name_stocks";"f1";"accuracy";"precision";"recall"
"1";"";0;0;0;0
"2";"Ibovespa";0,214285714285714;0,534391534391534;0,545454545454545;0,133333333333333
"3";"Ibrx100";0,240498442367601;0,570017636684303;0,756862745098039;0,142962962962963
"4";"Ibrx50";0,226415094339623;0,566137566137566;0,75;0,133333333333333
"5";"Ibra";0,27030303030303;0,575308641975309;0,743333333333333;0,165185185185185
"6";"IGC";0,254434250764526;0,570017636684303;0,729824561403509;0,154074074074074
