
normalizacao adap

"";"name_stocks";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"1";"";0;0;0;0;0;0
"2";"HSCE";0,784924623115578;0,16;0,918292682926829;0,294736842105263;0,16;0,207407407407407
"3";"Shangai";0,724958123953099;0,260952380952381;0,823983739837398;0,240350877192982;0,260952380952381;0,250228310502283
"4";"SZSE Component";0,796314907872697;0,135238095238095;0,93739837398374;0,315555555555556;0,135238095238095;0,189333333333333
"5";"CSI 1000";0,818090452261307;0,04;0,984146341463415;0,35;0,04;0,0717948717948718
"6";"S&PCITIC300";0,756113902847571;0,192380952380952;0,876422764227642;0,249382716049383;0,192380952380952;0,217204301075269

garch

"";"name_stocks";"accuracy";"sensitivity";"specificity";"precision";"recall";"f1"
"1";"";0;0;0;0;0;0
"2";"HSCE";0,814070351758794;0,285714285714286;0,926829268292683;0,454545454545455;0,285714285714286;0,350877192982456
"3";"Shangai";0,784254606365159;0,329523809523809;0,88130081300813;0,372043010752688;0,329523809523809;0,349494949494949
"4";"SZSE Component";0,817420435510888;0,266666666666667;0,934959349593496;0,466666666666667;0,266666666666667;0,339393939393939
"5";"CSI 1000";0,769514237855946;0,116190476190476;0,908943089430894;0,214035087719298;0,116190476190476;0,150617283950617
"6";"S&PCITIC300";0,811055276381909;0,32;0,915853658536585;0,448;0,32;0,373333333333333

change point

"";"name_stocks_chine";"f1";"accuracy";"precision";"recall"
"1";"";0;0;0;0
"2";"HSCE";0,357142857142857;0,819095477386935;0,476190476190476;0,285714285714286
"3";"Shangai";0,335864978902954;0,736348408710218;0,301515151515152;0,379047619047619
"4";"SZSE Component";0,316444444444444;0,742378559463987;0,296666666666667;0,339047619047619
"5";"CSI 1000";0,11156462585034;0,781239530988275;0,195238095238095;0,0780952380952381
"6";"S&PCITIC300";0,287179487179487;0,767169179229481;0,311111111111111;0,266666666666667
